Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi 
Učinki samostojno izvajane zgodnje vadbe za moč in senzorično motorične vadbe po totalni kolčni artroplastiki,"Krištof Mirt, Pika","Trebše, Rihard","Strojnik, Vojko",Totalna kolčna artroplastika; Zgodnja pooperativna vadba; Vadba za moč; Samostojno izvajana vadba na domu; Total hip arthroplasty; Early postoperative exercise; Strength training; Home-based exercise without supervision,2024,Slovenski jezik,MF - Medicinska fakulteta,,,439,633
Promoting vision-related quality of life,"Šemrov, Ana","Rahi, Jugnoo Sangeeta",,vision disorders; mental health; quality of life; children; adolescents; resilience (psychological); dissertations; motnje vida; slabovidnost; duševno zdravje; kakovost življenja; otroci; mladostniki; osebnostna prožnost; doktorske disertacije,2024,Angleški jezik,FF - Filozofska fakulteta,,,120,36
Vpliv izbranih prostih in v nanodelce vgrajenih antagonistov nikotinskih acetilholinskih receptorjev na celice raka pljuč,"Joukhan, Ahmad","Drobne, Damjana","Sollner Dolenc, Marija",marine toxins; nicotinic acetylcholine receptors; nAChR antagonists; 3-alkylpyridinium salts; chemotherapeutic agents; morski toksini; nikotinski acetilholinski receptorji; antagonisti nAChR; 3-alkilpiridinijeve soli; kemoterapevtiki,2024,Angleški jezik,FFA - Fakulteta za farmacijo,,,460,154
Trdninska toplotna stikala v sistemih s cikličnim spreminjanjem temperature,"Petelin, Nada","Kitanovski, Andrej","Kalin, Mitjan",toplotno stikalo; toplotni kontrolni elementi; magnetokalorično hlajenje; vodenje toplote; prenos toplote; thermal switch; thermal control elements; magnetocaloric cooling; thermal management; heat transfer,2024,Slovenski jezik,FS - Fakulteta za strojništvo,24,153,552,149
Vzorec kognitivnega nadzora pri bolnikih s parkinsonovo boleznijo,"Resnik Robida, Karmen","Pirtošek, Zvezdan","Burger, Helena",stabilni kognitivni nadzor; fleksibilni kognitivni nadzor; naloga kognitivnega nadzora (C3T); parkinsonova bolezen; EEG; stable cognitive control; flexible cognitive control; cognitive control challenge task; Parkinson’s disease; EEG,2024,Slovenski jezik,MF - Medicinska fakulteta,,,439,141
Opredelitev ombrotrofičnega barjanskega okolja za sledenje preteklega atmosferskega odlaganja,"Pezdir, Valentina","Gosar, Mateja","Zupančič, Nina",Built environment; civil engineering; doctoral thesis; peatland; peat; geophysics; peat basin model; atmospheric deposition; SEM/EDS; hydrogeochemistry; isotopic composition; geochemistry; mineral matter; organic matter decomposition; processes within peatlands; doktorske disertacije; gradbeništvo; grajeno okolje; barje; šota; geofizika; model šotne kotanje; atmosferski depozit; SEM/EDS; kritične točke; hidrogeokemija; izotopska sestava; geokemija; mineralna snov; razgradnja organske snovi; procesi v barju,2024,Angleški jezik,"FGG - Fakulteta za gradbeništvo in geodezijo
NTF - Naravoslovnotehniška fakulteta",,,791,151
Dynamics of a Taylor bubble in counter-current turbulent flow,"Kren, Jan","Mikuž, Blaž",,fluid dynamics; multiphase flows; computational fluid dynamics; large eddy simulation; turbulence; Volume-Of-Fluid method; Particle Image Velocimetry; dinamika tekočin; večfazni tokovi; računska dinamika tekočin; metoda velikih vrtincev; turbulenca; metoda VOF; metoda sledenja delcev,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,1757,148
Studies of non-equilibrium phenomena using scanning tunneling microscopy,"Vaskivskyi, Yevhenii","Mihailović, Dragan",,"scanning tunnelling microscopy; photoinduced phase transitions; metastable states; single electron dynamics; strongly correlated materials; 1T-TaS
2; electronic amorphous state; charge density waves; vrstična tunelska mikroskopija; fotoinducirani fazni prehodi; metastabilna stanja; dinamika posameznih elektronov; močno korelirani materiali; 1T-TaS2; elektronsko amorfno stanje; valovi gostote naboja",2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,571,102
Lidarski sistem z več vidnimi polji za zagotavljanje varnosti v robotiki,"Pogačnik, Luka","Munih, Marko",,lidar; preusmerjanje vidnega polja; zrcalo; vpliv na meritev; adaptivna referenca; lidar; FOV redirection; mirror; effect on measurement; adaptive reference,2024,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,419,126
Molekularna opredelitev in epidemiološke značilnosti rinovirusov pri bolnikih z akutno okužbo dihal,"Berginc, Nataša","Petrovec, Miroslav","Sočan, Maja",Picornaviridae; rinovirusi; genotipizacija; epidemiologija; akutne okužbe dihal; Picornaviridae; rinoviruses; genotyping; epidemiology; acute respiratory tract infection,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,403,75
"Dinamična piezoelektrična zaznavala, izdelana z metodo ciljnega nalaganja materiala v enem procesu","Košir, Tilen","Slavič, Janko",,piezoelektrično zaznavalo; piezoelektrični učinek; ekstruzija termoplastičnega materiala; električna polarizacija; dodajalne tehnologije; elektromagnetna interferenca; elektromagnetni ščit; silomer; piezoelectric sensor; piezoelectric effect; thermoplastic material extrusion; poling; additive manufacturing; electromagnetic interference; electromagnetic shield; force sensor,2024,Slovenski jezik,FS - Fakulteta za strojništvo,20,43,620,133
OCENA PROŽNOSTI ODJEMA IN ODZIVOV ODJEMALCEV V PROGRAMIH VODENJA PORABE ELEKTRIČNE ENERGIJE Z METODAMI STROJNEGA UČENJA,"GRABNER, MIHA","Blažič, Boštjan","Štruc, Vitomir",pametna omrežja; prožnost; prilagajanje odjema; napovedovanje; globoko učenje; smart grids; flexibility; demand response; forecasting; deep learning,2024,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,541,179
"Načrtovanje, sinteza in vrednotenje novih zaviralcev proteina toplotnega šoka 90 s protitumornim delovanjem","Dernovšek, Jaka","Tomašič, Tihomir","Zidar, Nace",alosterija; Hsp90; protitumorno delovanje; rak; selektivnost; allostery; anticancer; cancer; Hsp90; selectivity,2024,Slovenski jezik,FFA - Fakulteta za farmacijo,,,420,0
The role of a family group conference in child foster care from a social work perspective,"Horvat, Gordana","Mali, Jana","Flaker, Vito",deinstitutionalisation; emancipation; participation; group work; family; empowerment; dezinstitucionalizacija; emancipacija; participacija; skupinsko delo; družina; krepitev moči,2024,Angleški jezik,FSD - Fakulteta za socialno delo,,,638,218
Dejavniki vpliva na rabo pitja alkoholnih pijač in sodobnih elektronskih medijev med dijaki v Varaždinski županiji,"Šarić Posavec, Jelena","Rotar Pavlič, Danica",,uživanje alkohola; pivske navade; srednje zdravstvene šole; srednje šole; sodobni mediji; dejavniki tveganja; zaščitni dejavniki; Hrvaška; alcohol consumption; drinking habits; medical high schools; high schools; modern media; risk factors; protective factors; Croatia,2024,Slovenski jezik,MF - Medicinska fakulteta,,,416,1989
Research on the influence of robotic manipulation on the uncertainty of product dimension measurements,"Zore, Aleš","Munih, Marko",,robot; process measurement; measurement uncertainty; dimensional mea- surement; comparative measurement; robot manipulation; measurement robotization; robot; proizvodne meritve; merilna negotovost; merjenje dimenzij; primerjalne meritve; manipulacija z robotom; robotizacija meritev,2024,Angleški jezik,FE - Fakulteta za elektrotehniko,,,433,102
Laboratorijski preskusi lastnosti mineralnih agregatov v fluvialni abraziji grobih sedimentov,"Kuzmanić, Tamara","Mikoš, Matjaž",,Built Environment; civil engineering; doctoral thesis; experimental abrasion; frost weathering; dynamic image analysis; particle morphology; power of abrasion; particle size distribution; coarse sediments; doktorske disertacije; gradbeništvo; grajeno okolje; eksperimentalna abrazija; zmrzalno preperevanje; analiza dinamičnih slik; morfologija zrn; moč abrazije; Los Angeles; micro-Deval; zrnavostna sestava; grobi sedimenti,2024,Angleški jezik,FGG - Fakulteta za gradbeništvo in geodezijo,30,176,609,147
Motion prediction in human-robot collaboration using deep recurrent neural networks,"MAVSAR, MATIJA","Ude, Aleš",,deep learning; recurrent neural networks; motion prediction; human-robot collaboration; adaptive robot control; motion recognition; dynamic movement primitives.; globoko učenje; rekurzivne nevronske mreže; napoved gibanja; sodelovanje robota in človeka; adaptivno robotsko vodenje; prepoznavanje gibov; dinamični generatorji gibov.,2024,Angleški jezik,FE - Fakulteta za elektrotehniko,,,457,112
Social interactions and territoriality of Bacillus subtilis kin types in biofilms,"Bolješić, Maja","Mandić Mulec, Ines",,Bacillus subtilis; biofilm; kin discrimination; incorporation of extracellular matrix polysaccharide mutant; Bacillus subtilis; biofilm; sorodstvena diskriminacija; inkorporacija mutante za polisaharide zunajceličnega matriksa,2024,Angleški jezik,BF - Biotehniška fakulteta,,,430,109
Stratigrafija in sedimentologija Spodnje flišoidne formacije Slovenskega bazena,"Gerčar, David","Rožič, Boštjan",,doktorske disertacije; grajeno okolje; geologija; stratigrafija; Slovenski bazen; Spodnja flišoidna formacija; spodnja kreda; aptij; albij; kalkarenit; apnenčeva breča; kalciturbidit; doctoral thesis; built environment; geology; stratigraphy; Slovenian Basin; Lower Flyschoid Formation; Early Cretaceous; Aptian; Albian; calcarenite,2024,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,28,174,542,149
Efficient multishot algebraic effect handlers,"Koprivec, Filip","Vidali, Janoš",,Algebraic effects; effect handlers; functional programming; theory of programming languages; denotational semantics; optimizing compilation; polymorphic compilation; subtyping; Algebrajski učinki; prestrezniki algebrajskih učinkov; funkcijsko programiranje; teorija programskih jezikov; denotacijska semantika; optimizirano prevajanje; polimorfno prevajanje; podtipi,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,622,222
Merging high resolution spectroscopy with accurate photometry in the study of open clusters,"Beeson, Kevin","Kos, Janez",,open clusters and associations: general -- techniques: photometric-- parallaxes -- Hertzsprung –Russell and colour–magnitude diagrams -- stars: abundances; razsute kopice in asociacije: splošno -- tehnike: fotometrične -- paralakse -- Hertzsprung-Russellov diagram in barvno-magnitudni diagrami -- zvezde: zastopanosti elementov,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,432,78
Droplet microresonators for probing soft and biological systems,"Pirnat, Gregor","Humar, Matjaž",,microdroplets; whispering gallery modes; interfacial tension; liquid inclusions; elastocapillarity; soft materials; Young's modulus; mikrokapljice; ``whisperring gallery'' optične resonance; tekoče inkluzije; površinska napetost; elastokapilarnost; mehka snov; Youngov modul,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,462,104
Phantom relaxation in non-Hermitian systems,"Bensa, Jaš","Žnidarič, Marko",,pseudospectrum; random quantum circuits; non-Hermiticity; non-normal matrix; Markov chain; transfer matrix; entanglement; operator correlations; psevdospekter; naključna kvantna vezja; nehermitskost; nenormalna matrika; Markovska veriga; prehodna matrika; prepletenost; korelacije operatorjev,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,476,108
Exotic hadrons with heavy quark and antiquark in lattice QCD,"Šadl, Mitja","Prelovšek, Saša",,quantum chromodynamics on the lattice; hadron spectroscopy; hadron; exotic meson; tetraquark; meson molecule; heavy quarks; resonance; scattering; kvantna kromodinamika na mreži; spektroskopija hadronov; hadron; eksotičen mezon; tetrakvark; molekula mezonov; težki kvarki; resonanca; sipanje,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,545,126
Proceduralno učenje začetnega desetprstnega slepega tipkanja pri učencih z disleksijo in vrstnikih brez disleksije,"Košir, Janja","Košak Babuder, Milena","Podlesek, Anja",zapisovanje; pisanje z roko; tipkanje; desetprstno slepo tipkanje; proceduralno učenje; avtomatizacija; učenci z disleksijo; transcription; handwriting; typing; touch-typing; procedural learning; automatization; students with dyslexia,2024,Slovenski jezik,PEF - Pedagoška fakulteta,14,303,572,142
Thriving at work in the context of work and nonwork characteristics,"Merkuž, Ajda","Mihelič, Katarina Katja",,work; leisure; family; career; labour efficiency; adjustment; regulation; research; delo; prosti čas; družina; kariera; delovna uspešnost; usklajevanje; regulacija; raziskave,2024,Angleški jezik,EF - Ekonomska fakulteta,6,129,423,415
A configurational approach to work design for different forms of work,"Lamovšek, Amadeja","Černe, Matej",,work; organization; design; labour efficiency; motivation; leisure; adjustment; theory; research; analysis; delo; organizacija; design; motiviranje; prosti čas; usklajevanje; teorija; raziskave; analiza,2024,Angleški jezik,EF - Ekonomska fakulteta,10,300,518,438
Physics and engineering studies of heat fluxes to ITER plasma-facing components,"Brank, Matic","Kos, Leon","Pitts, Richard A.",tokamak; plasma; field-line tracing; first wall of fusion reactor; tomography; bolometer; tokamak; plazma; sledenje magnetnim silnicam; prva stena fuzijskega reaktorja; tomografija; bolometer,2024,Angleški jezik,FS - Fakulteta za strojništvo,28,151,474,92
Razvoj metode za opredeljevanje nukleacijskega potenciala in livarskih tehnoloških lastnosti Al zlitin,"Žbontar, Matic","Mrvar, Primož",,zlitina AlMg6Si2MnZr; enostavna termična analiza; mikrostruktura; nekovinski vključki; nukleacijski potencial; alloy AlMg6Si2MnZr; simple thermal analysis; microstructure; non metallic inclusions; nucleation potential,2024,Slovenski jezik,NTF - Naravoslovnotehniška fakulteta,13,185,430,110
Modifikacija površine TiO2 za razvoj večfunkcionalnih nanokompozitnih tekstilij,"Rashid, Mohammad Mamunur","Tomšič, Brigita","Jerman, Ivan",tekstilije; večfunkcionalnost; titanov dioksid (TiO2); Ag-oplaščenje; reduciran grafen oksid (rGO); funkcionalizacija površine; organofunkcionalni trialkoksisilani; in situ sinteza; textile; multifunctionality; titanium dioxide (TiO2); Ag loading; reduced graphene oxide (rGO); surface functionalization; organofunctional trialkoxysilanes; in situ synthesis,2024,Angleški jezik,NTF - Naravoslovnotehniška fakulteta,,,421,81
Določanje posmrtnega intervala z ugotavljanjem viabilnosti hondrocitov v kolenskem sklepu prašičev,"Cvetko, Marko","Gombač, Mitja","Alibegović, Armin",posmrtni interval – PMI; sklepni hrustanec; prašiči; letni čas; konfokalni laserski skenirni mikroskop – CLSM; tripansko modrilo – TM; viabilnost; žuželke; postmortem interval - PMI; articular cartilage; pigs; season; confocal laser scanning microscope – CLSM; trypan blue – TM; viability; insects,2024,Slovenski jezik,VF - Veterinarska fakulteta,,,374,83
Determining the filaments and their properties in cosmological simulations,"Ilc, Samo","Fabjan, Dunja",,Galaxies: clusters: general; Hydrodynamics; Large-scale structure of Universe; Methods: numerical; Intergalactic medium; Galaksije: jate: splošno; Hidrodinamika; Struktura na velikih skalah; Metode: numerične; Medgalaktični medij,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,429,88
Imunoterapija z vakcino z bakteriofagi s predstavljenimi tumorskimi peptidi in citokinom interlevkinom 12 za zdravljenje mišjega malignega melanoma,"Brišar, Nuša","Cör, Andrej",,Bakteriofagi; tehnologija predstavitve na bakteriofagu; imunoterapija; maligni melanom; interlevkin 12; Bacteriophages; bacteriophage display technology; immunotherapy; malignant melanoma; interleukin 12,2024,Slovenski jezik,MF - Medicinska fakulteta,,,460,83
Spremembe odpornosti lesa zaradi izpiranja biološko aktivnih učinkovin in sprememb morfologije površine kot posledice vremenskih vplivov,"Keržič, Eli","Humar, Miha","Vek, Viljem",hrapavost; inherentna odpornost; odpornost proti navlaževanju; ekstraktivi; biocidi; izpiranje; roughness; inherent durability; wetting ability; extractives; biocides; leaching,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,419,96
In vitro model prirojenega imunskega odziva na različne seve streptokokov skupine B,"Janžič, Larisa","Kopitar, Andreja Nataša",,streptokoki skupine B; makrofagi; fagocitoza; imunometabolizem; citokini; piroptoza; imunski odziv; group B Streptococcus; macrophages; phagocytosis; immunometabolism; cytokines; pyroptosis; immune response,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,440,110
Heribert Svetel kot ljubiteljski in profesionalni glasbenik,"Ivec, Anja","Koter, Darja",,pevska društva; glasbeno ljubiteljstvo; Narodno železničarsko glasbeno društvo Sloga; slovenski pedagogi; dirigenti; Slovensko narodno gledališče Maribor; slovenski skladatelji; slovenska glasba; 20. st.; doktorske disertacije; choral societies; music amateurism; National Railway Music Society Sloga; Slovenian conductors; Slovenian National Theatre Maribor; Slovenian composers; Slovenian music; 20th cent.; doctoral dissertations,2024,Slovenski jezik,AG - Akademija za glasbo,9,460,410,114
Ishemija in fibroza desnega prekata pri odraslih s prirojenimi srčnimi napakami in tlačno obremenitvijo desnega prekata,"Pavšič, Nejc","Prokšelj, Katja",,prirojene srčne napake; desni prekat; kronična tlačna obremenitev; ishemija; fibroza; sistemski desni prekat; transpozicija velikih žil; pljučna hipertenzija; Eisenmengerjev sindrom; congenital heart defects; right ventricle; chronic pressure overload; ischemia; fibrosis; systemic right ventricle; transposition of the great arteries; pulmonary hypertension; Eisenmenger syndrome,2024,Slovenski jezik,MF - Medicinska fakulteta,,,388,1021
Institucionalizacija odnosov z javnostmi v institucionalnem okviru korporativnega upravljanja podjetij v večinski državni lasti,"Ašanin Gole, Pedja","Verčič, Dejan",,institucionalizacija; odnosi z javnostmi; korporativno upravljanje; podjetja v državni lasti; nova institucionalna teorija; institutionalization; public relations; corporate governance; state-owned enterprises; new institutional theory,2024,Slovenski jezik,FDV - Fakulteta za družbene vede,,,437,226
Večgeneracijsko skrbstveno delo srednje generacije,"Jagodic, Ana","Uhan, Samo","Švab, Alenka",skrb; skrbstveno delo; večgeneracijsko skrbstveno delo; sendvič generacija; etika skrbi; skrb za otroke; skrb za starejše; usklajevanje poklicnega in zasebnega življenja; care; care work; multigenerational care work; sandwich generation; ethics of care; childcare; care for older adults; work-life balance,2024,Slovenski jezik,FDV - Fakulteta za družbene vede,,,546,1147
Optimizacija frezanja z lasersko asistenco,"Muženič, David","Kramar, Davorin","Jezeršek, Matija",frezanje z lasersko asistenco; keramika na osnovi ZnO; model prenosa toplote; nastanek škode; empirično modeliranje; nevronske mreže; laser-assisted milling; ZnO ceramics; thermal model; damage formation; empirical modelling; artificial neural networks,2024,Slovenski jezik,FS - Fakulteta za strojništvo,24,102,370,71
Karakterizacija in napovedovanje učinka pulzirajočega visokotlačnega dovoda hladilno mazalne tekočine v proces struženja,"Kern, Matjaž","Pušavec, Franci",,pulzirajoče visokotlačno odrezavanje; dovod hladilno-mazalne tekočine; struženje; odrezki; deformacija odrezkov; obremenitve orodja; pulsating high-pressure machining; coolant application; turning; chips; chip deformation; cutting tool load,2024,Slovenski jezik,FS - Fakulteta za strojništvo,26,170,456,107
"Convexity in matrix spaces, extreme points and faces","Štrekelj, Tea","Klep, Igor",,"matrix convex set; matrix extreme point; matrix exposed point; Krein-Milman theorem; Straszewicz-Klee theorem; matrix face; matrix exposed face; free spectrahedron; Γ
-convex set; Γ
-operator system; Γ
-ucp map; free extreme point; Γ
-extreme point; matrično konveksna množica; matrično izpostavljena točka; Krein-Milman izrek; Straszewicz-Klee izrek; matrično lice; matrično izpostavljeno lice; Γ
-konveksna množica; Γ
-operatorski sistem; unitalna
Γ
-povsem pozitivna preslikava; Γ
-ekstremna točka",2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,434,104
Obsevanje mišjega ploščatoceličnega karcinoma ustnega predela kot način za povečanje učinkovitosti imunoterapije,"Pišljar, Živa","Jesenko, Tanja","Čemažar, Maja",ionizirajoče sevanje; obsevanje dela tumorja; ploščatocelični karcinom ustnega predela; humani papilomavirus (HPV); imunoterapija; zaviralci imunskih kontrolnih točk (ZIKT); pretočna citometrija; mišji tumorski model; ionizing radiation; partial-volume tumor irradiation; oral squamous cell carcinoma; human papillomavirus (HPV); immunotherapy; immune checkpoint inhibitors (ICI); flow cytometry; mouse tumor model,2024,Slovenski jezik,MF - Medicinska fakulteta,,,445,116
Razvoj s kovinami prehoda kataliziranih reakcij za selektivne modifikacije biomolekul,"Jankovič, Dominik","Gazvoda, Martin",,-; -,2024,Slovenski jezik,FKKT - Fakulteta za kemijo in kemijsko tehnologijo,,,593,0
Etnografija moralnih ekonomij pri sodelovalnih odnosih med kmeti,"Slovenc Grasselli, Mateja","Erjavec, Emil","Knežević Hočevar, Dušanka",kmetijstvo; kmetje; sodelovanje; moralna ekonomija; blaginja; Slovenija; agriculture; farmers; cooperation; moral economy; wellbeing; Slovenia,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,436,1967
Oltarna arhitektura in kiparstvo 17. stoletja na Kranjskem,"Oražem, Frančiška","Klemenčič, Matej",,art history; sculpture; altar architecture; ornament; Carniola; umetnostna zgodovina; kiparstvo; oltarna arhitektura; ornamenti; Kranjska; Furlanija; doktorske disertacije,2024,Angleški jezik,FF - Filozofska fakulteta,,,437,0
Napovedna vrednost nasičenosti možganov in skeletne mišice s kisikom med oživljanjem za povrnitev spontanega krvnega obtoka pri srčnem zastoju,"Košir, Miha","Podbregar, Matej",,srčni zastoj; infrardeča spektroskopija; regionalna tkivna nasičenost s kisikom; povrnitev spontanega krvnega obtoka; kardiopulmonalno oživljanje; cardiac arrest; near-infrared spectroscopy; regional tissue oxygen saturation; return of spontaneous circulation; cardiopulmonary resuscitation,2024,Slovenski jezik,MF - Medicinska fakulteta,,,391,79
Sistem z biomehansko povratno vezavo z delovanjem v realnem času in brezžično povezljivostjo v športu,"HRIBERNIK, MATEVŽ","Kos, Anton",,interakcija človek-stroj; biomehanska povratna vezava; nosljiva naprava; taktilna modalnost; kinematični senzorji; aktuatorji; realnočasovni sistem; brezžična komunikacija; uporabniška izkušnja; Human-Machine Interaction; Biomechanical Feedback; Wearable Devices; Haptic; Modality; Kinematic Sensors; Actuators; Real-Time System; Wireless; User Experience,2024,Slovenski jezik,FE - Fakulteta za elektrotehniko,,,464,125
Vloga stresnega keratina 17 v odgovoru na zdravljenje z zaviralci imunskih kontrolnih točk pri raku glave in vratu,"Ložar, Taja","Lambert, Paul F.","Grašič Kuhar, Cvetka",ploščatocelični rak glave in vratu; stresni keratin 17; citokeratin 17; prostorsko usmerjeno sekvenciranje transkriptoma; multipleksna imunofluorescenca; head and neck squamous cell carcinoma; stress keratin 17; cytokeratin 17; biomarker; spatial transcriptomics; multiplex immunofluorescence,2024,Slovenski jezik,MF - Medicinska fakulteta,,,336,83
Vpliv aktivacijskih domen Tollu podobnih receptorjev na imunoterapevtsko učinkovitost limfocitov T z izraženimi himernimi antigenskimi receptorji,"Mikolič, Veronika","Sever, Matjaž","Lainšček, Duško",Celična terapija CAR T; imunoterapija raka; TLR; CAR T cell therapy; cancer immunotherapy; TLR,2024,Slovenski jezik,MF - Medicinska fakulteta,,,705,229
Genetska heterogenost pri otrocih z amelogenesis imperfecta v Sloveniji in njen vpliv na rentgensko določljivo morfologijo zob,"Leban, Tina","Fidler, Aleš","Trebušak Podkrajšek, Katarina",Amelogenesis imperfecta; razvojno okvarjena sklenina; genetska analiza; rentgenska analiza; neizrasli drugi spodnji stalni kočniki; novo interpretativno orodje; Amelogenesis imperfecta; developmentally defective enamel; molecular genetic analysis; radiographic analysis; lower second permanent molar buds; new evaluation tool,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,413,82
Soft-templated synthesis of π-conjugated porous polymer scaffolds for visible-light-driven heterogeneous photocatalysis,"Kotnik, Tomaž","Kovačič, Sebastijan","Košmrlj, Janez",-; -,2024,Angleški jezik,FKKT - Fakulteta za kemijo in kemijsko tehnologijo,,,424,120
Možgansko-žilna odzivnost na peptid povezan z genom za kalcitonin pri bolnikih z migreno,"Visočnik, Darja","Žvan, Bojana",,Možgansko-žilna odzivnost; peptid povezan z genom za kalcitonin; migrena; Cerebrovascular reactivity; calcitonin-gene-related peptide; migraine,2024,Slovenski jezik,MF - Medicinska fakulteta,,,302,53
Potresni odziv armiranobetonskih povezanih sten,"Janevski, Antonio","Isaković, Tatjana","Gams, Matija",Built environment; doctoral thesis; reinforced concrete walls; reinforced concrete slabs; level of coupling; response mechanism; nonlinear analysis; numerical modelling; parametric study; inelastic shear force amplification; pushover-based design; seismic response; Grajeno okolje; disertacije; armiranobetonske stene; armiranobetonske plošče; stopnja povezanosti; mehanizem odziva; nelinearna analiza; numerično modeliranje; parametrična študija; povečanje strižnih sil v nelinearnem območju; zasnova na podlagi potisne analize; potresni odziv,2024,Angleški jezik,FGG - Fakulteta za gradbeništvo in geodezijo,38,274,563,181
Strukturna in biokemijska karakterizacija aktinoporinom podobnega proteina MoFa in bakterijskega proteina Cyt2Aa,"Šolinc, Gašper","Podobnik, Marjetka","Anderluh, Gregor",porotvorni proteini; aktinoporini; bakterijski citolizini; makromolekularna kristalografija; presevna elektronska mikroskopija pod krio pogoji; interakcije med membranskimi proteini in lipidnimi membranami; pore-forming proteins; actinoporins; bacterial cytolysins; macromolecular crystallography; transmission electron microscopy under cryogenic conditions; interactions between membrane proteins and lipid membranes,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,370,112
"Vpliv izbranih gliv, izoliranih z umetniških slik, na novodobne materiale v konservatorsko-restavratorskih posegih","Kujović, Amela","Zalar, Polona","Gostinčar, Cene",glive; kserofili; razgradnja; sintetični materiali; slike na platnu; fungi; xerophiles; degradation; synthetic materials; canvas paintings,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,504,187
Blockchain recommender system for cloud computing,"Gec, Sandi","Stankovski, Vlado",,cloud computing; smart contract; classification; cluster; recommender system; inheritance; računalništvo v oblaku; pametna pogodba; klasifikacija; priporočilni sistem; dedovanje,2024,Angleški jezik,FRI - Fakulteta za računalništvo in informatiko,,,558,160
Vloga kirurškega zdravljenja pri bolnikih s stadijem III A (N2) nedrobnoceličnega raka pljuč,"Bitenc, Marko","Čufer, Tanja",,Nedrobnocelični rak pljuč; lobektomija pljuč z limfadenektomijo; adjuvantna kemoterapija; prognoza; stadij IIIA bolezni; Non-small lung cancer; lung lobectomy with lymphadenectomy; adjuvant chemotherapy; prognosis; stage IIIA lung cancer,2024,Slovenski jezik,MF - Medicinska fakulteta,,,288,72
Vloga nekodirajočih RNA pri anabolnem zdravljenju osteoporoze s teriparatidom,"Vrščaj, Lucija Ana","Marc, Janja","Ostanek, Barbara",osteoporoza; nekodirajoče RNA; teriparatid; mezenhimske matične/ stromalne celice; mikro RNA; osteoporosis; non-coding RNAs; teriparatide; mesenchymal stem/ stromal cells; micro RNA,2024,Slovenski jezik,FFA - Fakulteta za farmacijo,,,359,3
Interactive visualization of densely populated volumes,"Lesar, Žiga","Marolt, Matija",,crowded volumes; volume rendering; visibility management; depth perception study; gosto poseljeni volumni; upodabljanje volumnov; upravljanje vidnosti; študija globinske zaznave,2024,Angleški jezik,FRI - Fakulteta za računalništvo in informatiko,,,450,126
Otrokosrediščna perspektiva in vključevanje priseljenih otrok,"Medarić, Zorana","Švab, Alenka","Sedmak, Mateja",otrokosrediščnost; otrokosrediščna perspektiva; priseljeni otroci; vključevanje priseljenih otrok; otrokosrediščne metode; etika; child-centredness; child-centred perspective; migrant children; migrant children`s integration; child-centred research methods; ethics,2024,Slovenski jezik,FDV - Fakulteta za družbene vede,,,439,96
Karakterizacija upada lastnih oblik zvočnega polja pod Schroederjevo frekvenco,"Čurović, Luka","Prezelj, Jurij",,upadni čas; lastne oblike; časovno-frekvenčne transformacije; impulzni odziv prostora; nizkofrekvenčno območje; majhne odmevnice; absorpcijski koeficient; decay time; modes; time-frequency transformations; room impulse response; low-frequency range; small reverberation room; sound absorption coefficient,2024,Slovenski jezik,FS - Fakulteta za strojništvo,30,126,386,95
Medsebojni vpliv karakteristik gradnikov in parametrov hidravlične stiskalnice z uporabo ekspertnega sistema,"Jankovič, Denis","Šimic, Marko","Pepelnjak, Tomaž",hidravlični pogon stiskalnice; prosto upogibanje; strojno učenje; regresijsko modeliranje; simulacija; ekspertni sistem; hydraulic press drive; bending; machine learning; regression modelling; simulation analysis; expert system,2024,Slovenski jezik,FS - Fakulteta za strojništvo,24,128,405,89
